transaction_id,amount,customer_age,transaction_type,payment_method,location,time_of_day,is_fraud
60,332.0770274556317,38,ATM,Crypto,UK,Evening,0
61,394.7905167925872,39,POS,Credit Card,Canada,Afternoon,0
62,278.63554145615694,21,POS,Crypto,Canada,Afternoon,0
63,830.45013406041,35,POS,Debit Card,USA,Night,0
64,363.1857934266534,22,Online,PayPal,Germany,Morning,1
65,288.1251645905069,36,ATM,Credit Card,UK,Evening,1
66,547.269122326666,19,ATM,Credit Card,Canada,Evening,0
67,149.51498272501502,29,POS,PayPal,UK,Morning,0
68,804.1750109464992,34,ATM,Credit Card,Germany,Morning,0
69,83.80513724297312,27,Online,PayPal,Canada,Night,0
70,987.0180672345122,51,POS,Debit Card,USA,Morning,0
71,774.5223216036909,23,POS,Crypto,UK,Evening,0
72,206.72852471883067,25,POS,Debit Card,USA,Night,0
73,15.466895952366375,68,Online,Crypto,Germany,Afternoon,0
74,817.3068141702859,28,POS,PayPal,Germany,Night,0
75,709.788770409141,29,POS,Debit Card,UK,Night,0
76,731.7170963605774,26,POS,Crypto,Germany,Night,0
77,773.5576432190862,19,POS,PayPal,India,Morning,0
78,83.30420521674945,25,ATM,Crypto,UK,Evening,0
79,364.8810712588299,28,POS,Credit Card,India,Morning,0
80,124.71036892987841,53,Online,Credit Card,Germany,Evening,1
81,864.4723916168376,27,POS,PayPal,UK,Morning,0
82,627.0651455592823,38,POS,Crypto,India,Night,0
83,337.5890446041227,37,ATM,Credit Card,Germany,Evening,0
84,72.9227667831634,65,POS,Debit Card,Canada,Morning,0
85,317.8724984985056,25,ATM,Crypto,Canada,Night,0
86,331.9314888064796,53,Online,Crypto,USA,Afternoon,0
87,732.3101165546834,46,ATM,Credit Card,Canada,Morning,0
88,641.181896641661,59,POS,Credit Card,India,Morning,0
89,888.3406151505633,29,Online,PayPal,Canada,Afternoon,0
90,477.4927759103298,31,POS,Crypto,UK,Morning,0
91,128.3983034789187,65,ATM,Debit Card,UK,Afternoon,0
92,716.1123393507651,67,Online,Credit Card,UK,Evening,0
93,763.1771981307285,38,Online,Crypto,Canada,Afternoon,0
94,565.6644255938013,39,ATM,Credit Card,Canada,Night,0
95,773.2575081550153,38,ATM,PayPal,USA,Afternoon,0
96,498.85764040074685,61,Online,Crypto,Germany,Evening,0
97,527.5055010881741,67,Online,Crypto,USA,Afternoon,0
98,433.26560817496414,47,ATM,PayPal,India,Afternoon,0
99,35.164935476654236,56,POS,Debit Card,UK,Evening,0
100,116.81251272337141,37,Online,Credit Card,Canada,Morning,0
101,41.11489382986691,41,ATM,PayPal,Germany,Morning,0
102,640.0463071511426,40,POS,Crypto,Germany,Night,0
103,321.2124212655634,24,Online,PayPal,Canada,Night,0
104,513.4849842530557,26,Online,Crypto,USA,Afternoon,0
105,908.490809186832,18,ATM,PayPal,Germany,Morning,0
106,256.7993068573862,43,POS,Debit Card,USA,Morning,0
107,416.2790938052734,55,Online,Crypto,Canada,Afternoon,0
108,757.9956271576182,55,POS,PayPal,USA,Evening,0
109,236.51018383670623,61,POS,Debit Card,UK,Morning,0
110,86.21011073050506,39,Online,Debit Card,Canada,Night,0
111,296.85393838463034,61,POS,Credit Card,Canada,Afternoon,0
112,169.60907438146438,27,Online,Crypto,Germany,Evening,0
113,930.4006758191473,23,POS,Credit Card,Germany,Night,0
114,810.0391757687728,34,Online,Debit Card,Germany,Morning,0
115,637.0697189453192,68,ATM,Credit Card,UK,Evening,0
116,872.7459842858406,67,Online,Credit Card,UK,Night,0
117,805.6353561301233,55,Online,PayPal,India,Afternoon,0
118,194.70435829717547,41,Online,Credit Card,Canada,Evening,0
119,893.633408505078,68,POS,Debit Card,Germany,Evening,0
120,543.9488194964943,27,ATM,Credit Card,Canada,Afternoon,0
121,809.3657536124219,25,POS,Crypto,USA,Morning,0
122,897.1303869242583,38,POS,PayPal,UK,Morning,0
123,324.8234402221452,23,Online,Debit Card,India,Evening,0
124,118.95140528239999,38,POS,Credit Card,USA,Evening,0
125,235.65581091652226,56,Online,Crypto,Canada,Evening,0
126,432.83671073999375,41,ATM,Debit Card,UK,Night,0
127,819.8346182632682,50,POS,Credit Card,Germany,Evening,0
128,862.12327742378,35,POS,PayPal,USA,Morning,0
129,16.882609225878795,45,POS,Credit Card,UK,Afternoon,0
130,515.6398295517901,69,Online,Debit Card,Canada,Afternoon,0
131,423.2368931172912,49,Online,Debit Card,Canada,Afternoon,0
132,229.88673236602295,29,POS,Debit Card,USA,Evening,0
133,128.66671366034598,65,POS,Crypto,USA,Evening,0
134,344.23901968959166,59,ATM,Credit Card,USA,Afternoon,0
135,943.480606873394,44,ATM,Credit Card,India,Night,0
136,329.9709027005477,27,ATM,Credit Card,Germany,Night,1
137,523.6027155259325,63,ATM,PayPal,UK,Night,1
138,705.9887693062261,69,ATM,Crypto,Canada,Night,0
139,369.99330635550103,59,Online,Crypto,Canada,Morning,0
140,972.0642618937511,49,ATM,PayPal,Germany,Afternoon,1
141,962.8228219926901,59,ATM,Crypto,USA,Morning,0
142,259.2644728671105,43,POS,PayPal,USA,Evening,0
143,502.2760208334616,42,Online,Debit Card,Canada,Night,0
144,307.86952671860195,28,ATM,Debit Card,Germany,Night,0
145,291.9920894336929,40,ATM,Crypto,Canada,Afternoon,0
146,46.51807788098747,51,ATM,Debit Card,USA,Night,0
147,613.4686906400979,69,POS,Debit Card,UK,Afternoon,0
148,507.6522329965729,57,POS,Debit Card,USA,Evening,0
149,60.96396373748946,40,POS,Credit Card,UK,Night,0
150,285.8599995942453,46,ATM,Debit Card,India,Night,0
151,909.1832271069871,48,POS,Credit Card,Germany,Morning,0
152,247.1662717603027,24,ATM,PayPal,India,Afternoon,0
153,153.44592337031085,57,Online,PayPal,USA,Afternoon,0
154,494.5582326747874,50,ATM,PayPal,Germany,Night,0
155,985.7939495694947,38,POS,PayPal,USA,Morning,1
156,249.6347187963854,19,Online,PayPal,Germany,Night,0
157,675.4141919318198,35,ATM,Debit Card,Germany,Afternoon,0
158,764.0034191754304,64,Online,Debit Card,USA,Afternoon,0
159,245.26116855247568,50,Online,Debit Card,USA,Night,0
160,730.934185125741,54,Online,PayPal,Germany,Evening,0
161,374.1053013920607,51,ATM,PayPal,Germany,Night,0
162,635.9827722876437,37,POS,Credit Card,USA,Morning,0
163,637.1944136532858,52,ATM,Crypto,USA,Afternoon,0
164,540.4169372340109,68,POS,Debit Card,Canada,Afternoon,0
165,99.38687235386422,67,ATM,Crypto,Canada,Night,0
166,836.9494706333456,35,ATM,PayPal,Canada,Evening,0
167,327.5722643220185,63,ATM,PayPal,India,Afternoon,0
168,194.6533252958557,41,POS,PayPal,Germany,Night,0
169,50.367390139216276,25,ATM,Crypto,UK,Evening,0
170,594.9840137563594,47,Online,Credit Card,India,Night,0
171,680.7887182238596,61,ATM,PayPal,Germany,Night,0
172,26.42195063857759,27,Online,Credit Card,UK,Night,0
173,516.9721277162882,40,POS,Credit Card,Canada,Afternoon,0
174,234.23081744595856,69,POS,Debit Card,UK,Evening,1
175,648.7210625053553,66,ATM,Crypto,USA,Morning,0
176,182.62276471494152,28,ATM,PayPal,USA,Morning,0
177,694.0283607214413,19,ATM,Credit Card,Germany,Afternoon,0
178,392.86799283753203,43,Online,Crypto,India,Afternoon,0
179,937.3626888493671,53,POS,Crypto,Canada,Night,0
180,146.1457347045333,50,Online,PayPal,Germany,Night,0
181,347.65568753975595,64,Online,Debit Card,Canada,Evening,0
182,122.33878602818318,30,ATM,Debit Card,USA,Night,0
183,925.4466820957772,57,ATM,Credit Card,India,Evening,0
184,878.5659598471713,42,Online,Debit Card,India,Night,0
185,265.362211438004,21,Online,Debit Card,USA,Night,0
186,663.3842055738372,59,ATM,Debit Card,UK,Morning,0
187,819.0499781992037,36,ATM,Crypto,India,Afternoon,0
188,559.6488034834678,35,Online,PayPal,UK,Evening,0
189,534.3540725724464,54,ATM,Crypto,Canada,Morning,0
190,249.43376799144716,47,ATM,Crypto,India,Night,0
191,102.17174012784022,36,Online,PayPal,USA,Morning,0
192,898.2436003737935,40,Online,Crypto,UK,Evening,0
193,901.4138765916972,33,POS,Credit Card,Canada,Afternoon,0
194,636.7704427005352,18,Online,Credit Card,Canada,Morning,0
195,345.63949313821365,29,ATM,Crypto,India,Evening,0
196,355.7174788665343,41,Online,Debit Card,India,Night,0
197,728.6961220815369,51,Online,Crypto,Germany,Morning,0
198,898.1391573530514,25,Online,Debit Card,Germany,Afternoon,0
199,888.2155600224661,35,POS,Crypto,India,Evening,0
200,782.0767903990476,65,POS,Credit Card,Germany,Afternoon,0
201,645.6113296927449,22,ATM,Debit Card,USA,Night,0
202,93.29856534509834,43,POS,Credit Card,USA,Afternoon,1
203,170.01242695366764,47,Online,Crypto,Germany,Night,0
204,899.5686466418084,30,POS,PayPal,India,Night,0
205,610.364769062994,36,Online,Debit Card,USA,Morning,0
206,19.10508110046335,46,POS,Debit Card,Canada,Night,0
207,110.45682743737179,20,POS,Crypto,India,Afternoon,0
208,666.8667514169753,43,POS,Crypto,UK,Morning,0
209,15.0109680077565,57,Online,Debit Card,UK,Night,0
210,169.19997090332367,29,POS,PayPal,India,Evening,0
211,553.2464514729203,19,Online,Crypto,Germany,Evening,0
212,694.9762457157664,28,Online,Crypto,USA,Night,0
213,655.4416469075745,61,ATM,Crypto,USA,Morning,0
214,232.0266163659542,45,POS,PayPal,India,Morning,0
215,715.0574291340605,35,ATM,Debit Card,Canada,Morning,0
216,244.87659662183208,30,ATM,Credit Card,Germany,Afternoon,0
217,332.14570117767505,54,Online,Crypto,Canada,Evening,0
218,749.0264910668438,39,POS,PayPal,India,Night,0
219,653.1365700567425,29,Online,Debit Card,India,Night,0
220,850.7311763892361,19,Online,Debit Card,Canada,Evening,0
221,661.03676337734,54,POS,PayPal,UK,Afternoon,0
222,572.6255173021169,24,Online,Crypto,India,Morning,0
223,102.73802014981155,43,POS,Credit Card,Germany,Evening,0
224,374.0386450288392,43,POS,Crypto,Canada,Night,0
225,272.5503440049082,41,Online,Debit Card,UK,Afternoon,0
226,251.54974694529275,29,Online,Credit Card,Canada,Night,0
227,973.2804492049211,33,ATM,Crypto,UK,Morning,0
228,399.1667474200928,40,Online,Credit Card,UK,Evening,0
229,893.1260896253422,57,POS,PayPal,Germany,Morning,0
230,634.8272397372903,26,ATM,Crypto,India,Afternoon,0
231,796.863190506232,49,POS,Debit Card,UK,Evening,1
232,507.61072217414016,32,ATM,Debit Card,India,Morning,0
233,581.1348457800955,54,Online,Credit Card,Germany,Morning,0
234,497.59251688067525,30,Online,PayPal,India,Morning,0
235,203.29055792006406,22,Online,Crypto,USA,Afternoon,0
236,725.2275941088902,28,POS,PayPal,UK,Morning,1
237,287.96463881644723,27,ATM,PayPal,Germany,Night,0
238,34.0728067671393,69,POS,Credit Card,Canada,Evening,0
239,649.0175729480961,30,ATM,Credit Card,Germany,Evening,0
240,185.33957261297846,58,Online,Crypto,UK,Morning,0
241,941.0539985093851,63,POS,Debit Card,Germany,Afternoon,0
242,954.3892912325615,67,Online,Crypto,Canada,Night,0
243,915.715746318244,32,POS,PayPal,USA,Night,1
244,376.45711325288994,59,Online,Credit Card,UK,Evening,0
245,25.302050363578754,24,POS,PayPal,UK,Evening,0
246,929.0353769618481,57,POS,Credit Card,Germany,Night,0
247,433.9023068341412,45,ATM,Debit Card,India,Evening,0
248,966.9882708532328,49,Online,PayPal,India,Morning,0
249,963.9837773183604,52,ATM,Credit Card,Canada,Night,0
250,854.4793609126865,32,ATM,Crypto,USA,Evening,0
251,301.5044031488898,65,Online,Crypto,USA,Morning,0
252,391.246751315906,53,POS,Crypto,Germany,Morning,0
253,852.6253048016883,38,ATM,PayPal,Germany,Night,0
254,323.75278510471486,23,Online,Credit Card,India,Morning,0
255,177.79781921923157,18,POS,Credit Card,USA,Night,0
256,561.2332498337666,21,ATM,Credit Card,USA,Morning,0
257,936.7932264191732,28,ATM,PayPal,USA,Night,0
258,699.0694987082233,61,ATM,Credit Card,Canada,Night,0
259,574.3605583884713,43,POS,Debit Card,Canada,Night,0
260,106.20472883306086,54,ATM,PayPal,Germany,Night,1
261,618.857154432178,40,POS,Debit Card,India,Morning,0
262,990.1533116032207,46,ATM,Debit Card,UK,Night,0
263,148.6831750841588,38,Online,Crypto,India,Evening,0
264,523.1463558400993,65,ATM,PayPal,Canada,Morning,0
265,878.5993412086759,62,Online,Credit Card,Canada,Night,0
266,743.3609315766624,62,Online,Debit Card,Germany,Morning,1
267,700.0455835853153,66,Online,PayPal,UK,Morning,0
268,705.4592431472382,44,POS,Credit Card,USA,Morning,1
269,365.89623970755764,56,Online,Crypto,UK,Morning,0
270,300.6559258218484,57,ATM,PayPal,UK,Night,0
271,811.2675439237285,30,POS,PayPal,UK,Morning,0
272,812.012260732389,40,Online,PayPal,Germany,Evening,0
273,868.4015953943026,33,POS,Credit Card,Canada,Morning,0
274,914.1081470309066,47,POS,Debit Card,USA,Morning,0
275,516.2289748723284,21,POS,Debit Card,UK,Evening,0
276,506.5011317403276,57,ATM,PayPal,USA,Night,0
277,800.3122271771074,33,Online,PayPal,UK,Evening,0
278,653.4642914699875,48,POS,Credit Card,Canada,Afternoon,0
279,704.9472084851263,59,POS,Crypto,USA,Evening,0
280,797.83474274174,42,POS,PayPal,India,Night,0
281,891.1052883993906,61,Online,PayPal,Canada,Evening,1
282,344.61520528302043,29,POS,Crypto,USA,Morning,0
283,381.8271231135446,43,POS,PayPal,UK,Night,1
284,103.04212044246032,54,ATM,Debit Card,UK,Afternoon,0
285,582.4973395862122,65,Online,PayPal,Canada,Night,0
286,45.582851058774665,50,ATM,Debit Card,Canada,Morning,0
287,470.94203795113555,45,Online,Credit Card,UK,Afternoon,0
288,547.2181883605009,26,Online,Credit Card,USA,Night,0
289,293.67583960700154,29,Online,Debit Card,India,Night,0
290,594.9249279633207,22,ATM,Debit Card,Germany,Morning,0
291,40.195247439658935,69,ATM,Crypto,Canada,Evening,0
292,46.974706861722275,45,ATM,Debit Card,UK,Evening,0
293,824.3745550530617,52,ATM,Debit Card,USA,Afternoon,0
294,366.58873499715025,22,POS,PayPal,Canada,Morning,0
295,135.78990752536595,51,POS,Crypto,USA,Morning,0
296,527.0208274542563,63,POS,Debit Card,Canada,Evening,0
297,772.2936175676248,51,Online,Debit Card,UK,Evening,0
298,223.66281722187475,30,POS,Debit Card,USA,Afternoon,0
299,626.6615710608103,56,Online,PayPal,UK,Evening,0
300,94.49399034383032,59,ATM,PayPal,USA,Afternoon,0
301,61.16490395692162,62,Online,PayPal,Canada,Night,0
302,536.0410852524665,65,Online,Credit Card,Germany,Afternoon,0
303,545.2287703940054,31,POS,PayPal,Germany,Afternoon,0
304,641.0556024832244,28,ATM,Debit Card,India,Afternoon,0
305,728.8304203854349,59,ATM,PayPal,India,Night,0
306,976.0935586679093,55,POS,PayPal,UK,Evening,0
307,521.1373448181834,21,ATM,Crypto,USA,Afternoon,0
308,329.7269082118335,50,ATM,Debit Card,India,Evening,0
309,797.2343328210167,24,ATM,PayPal,Canada,Afternoon,0
310,278.12392874945346,58,POS,Credit Card,Germany,Evening,0
311,444.58170649857976,25,ATM,Crypto,USA,Afternoon,0
312,87.67181752884329,54,Online,PayPal,Germany,Evening,0
313,35.09723598130294,68,Online,Crypto,USA,Morning,1
314,963.0219305311458,27,ATM,Crypto,India,Night,0
315,837.6203193070837,60,POS,Credit Card,India,Afternoon,0
316,699.014464032761,32,POS,Credit Card,UK,Night,0
317,414.86341497012717,55,POS,Credit Card,USA,Afternoon,0
318,181.5613768701373,32,ATM,Debit Card,Canada,Morning,0
319,164.8726722443752,22,ATM,Crypto,India,Morning,0
320,257.74046918294937,46,Online,PayPal,UK,Night,0
321,553.7343980590592,36,POS,Credit Card,India,Afternoon,0
322,717.4499634730618,68,Online,Credit Card,Germany,Evening,0
323,663.595402950554,27,Online,Crypto,India,Afternoon,0
324,287.1345579764834,29,POS,Crypto,USA,Evening,0
325,955.3166278565621,21,ATM,Crypto,UK,Night,0
326,740.5179475288109,48,ATM,PayPal,USA,Night,0
327,558.8105119862867,35,Online,Debit Card,Canada,Morning,0
328,615.6035387720087,33,Online,Debit Card,Canada,Evening,0
329,425.40406180351204,57,Online,Credit Card,India,Afternoon,0
330,255.25367960614588,53,Online,Debit Card,UK,Morning,0
331,362.41295186474895,42,POS,PayPal,UK,Night,0
332,760.2676493597254,40,Online,Debit Card,UK,Morning,0
333,24.24955374345831,29,Online,PayPal,UK,Afternoon,0
334,124.91191410184707,51,ATM,Credit Card,India,Afternoon,0
335,55.54261560153522,53,ATM,Crypto,USA,Night,0
336,50.32151429578043,54,ATM,PayPal,India,Morning,0
337,856.9059781708971,20,POS,Crypto,USA,Evening,0
338,706.6212807862235,26,POS,Credit Card,Germany,Evening,0
339,479.4320907964519,35,ATM,PayPal,Germany,Evening,0
340,106.85581904449147,60,ATM,PayPal,USA,Afternoon,0
341,496.699716365664,52,Online,Debit Card,India,Morning,0
342,478.73705307276003,51,Online,PayPal,Canada,Evening,0
343,181.46985121091504,58,POS,Credit Card,India,Morning,0
344,439.5131327455933,31,POS,Crypto,Canada,Night,0
345,404.5196870533997,21,Online,PayPal,India,Evening,0
346,619.6915970716943,46,ATM,Credit Card,UK,Morning,0
347,638.7427143589673,58,Online,Credit Card,UK,Afternoon,0
348,54.85096967432407,62,POS,PayPal,Germany,Night,0
349,380.8664884802065,67,POS,Debit Card,Germany,Night,0
350,629.601316557094,32,Online,PayPal,USA,Night,0
351,508.10489599428684,45,Online,PayPal,Canada,Night,0
352,857.924942776439,59,Online,Debit Card,UK,Afternoon,0
353,662.1066953027556,33,POS,Credit Card,India,Afternoon,0
354,171.3050828106154,29,ATM,PayPal,USA,Evening,0
355,79.86305992642555,69,Online,Debit Card,India,Afternoon,0
356,645.9950854242525,22,POS,Crypto,UK,Afternoon,0
357,36.24619743620559,51,POS,Crypto,UK,Night,0
358,589.9178254607286,59,POS,Debit Card,UK,Afternoon,0
359,940.8279390107081,18,Online,Credit Card,UK,Night,0
360,579.7194360971201,56,Online,Debit Card,India,Morning,0
361,394.2882269444567,49,ATM,Credit Card,USA,Morning,0
362,646.8553362579296,43,POS,Crypto,UK,Morning,0
363,463.6703615866015,34,Online,PayPal,Germany,Morning,0
364,550.1606214227755,65,POS,Debit Card,USA,Morning,1
365,942.0501606887599,44,POS,Crypto,Germany,Morning,0
366,392.2416114227665,41,ATM,PayPal,India,Morning,0
367,961.5786581856751,52,Online,Crypto,UK,Night,1
368,906.2971355365031,63,Online,Debit Card,USA,Night,0
369,203.83322344140348,59,POS,Debit Card,UK,Night,0
370,78.6676878664138,56,POS,PayPal,UK,Night,1
371,109.77022136365238,43,ATM,Debit Card,USA,Afternoon,0
372,28.03960739503423,66,ATM,Crypto,UK,Afternoon,0
373,103.49853114836911,55,ATM,PayPal,UK,Evening,0
374,686.1767056821933,40,ATM,PayPal,Canada,Afternoon,0
375,80.4767619756267,39,ATM,Crypto,Canada,Night,0
376,325.7858739908237,21,ATM,Credit Card,USA,Night,0
377,846.42655785976,66,POS,PayPal,USA,Morning,0
378,33.03921637846761,26,ATM,Credit Card,UK,Morning,0
379,816.3237977630464,21,POS,Crypto,Germany,Evening,0
380,289.03622702566594,24,POS,Crypto,USA,Afternoon,0
381,126.9831793454397,40,Online,PayPal,UK,Night,1
382,699.7697937105091,19,POS,Debit Card,Germany,Afternoon,1
383,632.6534183120851,66,POS,PayPal,Canada,Evening,0
384,878.6972933917824,41,ATM,Debit Card,USA,Morning,0
385,737.720333365847,57,POS,Credit Card,UK,Night,0
386,805.4461210810001,48,ATM,Debit Card,Canada,Morning,0
387,289.21422684559343,64,ATM,PayPal,India,Night,0
388,185.6651483419256,48,ATM,Debit Card,Canada,Morning,0
389,753.1086041244497,64,Online,Crypto,UK,Morning,0
390,808.7663918745914,57,ATM,Credit Card,Germany,Evening,0
391,990.6000905806666,65,POS,Crypto,India,Afternoon,1
392,418.4915001423122,68,ATM,Crypto,India,Morning,0
393,378.29790493485535,60,ATM,Crypto,India,Night,0
394,778.6488311345769,51,ATM,Crypto,USA,Afternoon,0
395,347.39550485048767,41,Online,Debit Card,UK,Afternoon,0
396,931.449752347529,66,POS,Crypto,India,Morning,0
397,859.8286243245817,43,Online,Debit Card,Canada,Morning,0
398,434.70408710126816,33,POS,Crypto,Germany,Morning,0
399,753.3623571135824,64,Online,PayPal,UK,Afternoon,0
400,756.9974453438356,30,POS,Crypto,Canada,Evening,0
401,112.09263014757329,32,Online,PayPal,USA,Morning,1
402,903.527377612771,44,ATM,Debit Card,India,Afternoon,0
403,510.1998487233786,21,Online,Credit Card,Canada,Afternoon,0
404,828.1928914466642,33,Online,Debit Card,UK,Night,0
405,326.8491050203056,47,ATM,Credit Card,Canada,Morning,0
406,896.5679962112384,61,ATM,Credit Card,USA,Evening,0
407,395.3096619468215,47,POS,Crypto,Germany,Night,0
408,20.729274965495378,53,POS,Credit Card,India,Morning,0
409,906.328156655071,20,POS,Debit Card,UK,Night,0
410,100.37381001827222,39,Online,Crypto,India,Morning,0
411,326.12050121451074,66,POS,Credit Card,India,Night,0
412,950.5613473802969,39,Online,Debit Card,India,Evening,0
413,951.1010754681805,67,Online,Credit Card,Canada,Night,0
414,577.7035092420532,67,POS,Credit Card,Canada,Night,0
415,635.5188400481013,66,POS,Crypto,Germany,Night,0
416,453.96106675853656,29,Online,Crypto,USA,Morning,0
417,300.27866398108387,38,ATM,Debit Card,UK,Morning,0
418,335.3778999162168,21,ATM,Crypto,Canada,Evening,0
419,675.7932715162681,48,Online,Crypto,India,Night,0
420,754.8507841433033,61,POS,PayPal,USA,Afternoon,0
421,793.66325328859,48,Online,PayPal,UK,Night,0
422,791.7219613666083,40,Online,Debit Card,UK,Afternoon,0
423,100.29404201820347,37,POS,Crypto,UK,Afternoon,0
424,499.4761016555557,32,ATM,Debit Card,UK,Night,0
425,66.98317241647784,40,Online,PayPal,Germany,Afternoon,0
426,554.0335935004982,45,ATM,PayPal,UK,Afternoon,0
427,447.1151963596432,33,ATM,PayPal,USA,Night,0
428,888.8271409307167,54,POS,Debit Card,Canada,Morning,0
429,357.4058624265579,38,Online,Crypto,USA,Night,0
430,125.8963462633298,32,Online,Credit Card,India,Evening,0
431,151.5617652323075,34,ATM,Crypto,Germany,Afternoon,0
432,763.8955254002975,67,ATM,Debit Card,Germany,Evening,0
433,622.0358826830984,54,POS,PayPal,India,Afternoon,0
434,110.11144936156234,30,ATM,Credit Card,USA,Morning,0
435,93.26573805384746,36,POS,Debit Card,USA,Afternoon,0
436,703.9594401445288,47,Online,PayPal,India,Night,0
437,82.03537630055159,62,POS,Debit Card,UK,Afternoon,0
438,823.6414586974527,35,ATM,Credit Card,UK,Evening,0
439,709.1798048849313,31,Online,PayPal,Canada,Night,0
440,90.53529283548076,53,POS,Crypto,USA,Evening,0
441,93.98933694,53,Online,Debit Card,USA,Morning,0
442,986.7731827161637,37,POS,Credit Card,India,Evening,0
443,380.5280877985591,69,ATM,Crypto,India,Evening,0
444,376.935725596222,36,ATM,Credit Card,UK,Evening,0
445,814.6715715849275,62,Online,Debit Card,USA,Night,0
446,947.7760916100201,61,Online,Credit Card,USA,Morning,0
447,986.1410531846421,24,Online,PayPal,Germany,Morning,0
448,755.8444034063522,61,POS,Credit Card,Canada,Morning,0
449,382.4969896756066,21,ATM,Debit Card,Canada,Evening,1
450,92.66570953168208,51,Online,PayPal,UK,Night,0
451,779.3754467681624,19,Online,Credit Card,USA,Night,0
452,562.820207238447,22,Online,Credit Card,Germany,Night,0
453,429.97978915450653,27,POS,PayPal,USA,Evening,0
454,907.2908412437886,49,Online,Crypto,India,Morning,0
455,120.08550748308983,59,Online,Crypto,UK,Evening,0
456,497.6988532479506,58,POS,PayPal,Canada,Night,0
457,21.240108319744877,30,POS,Credit Card,USA,Evening,0
458,473.974035574185,56,Online,Crypto,UK,Afternoon,0
459,65.74024292501898,22,Online,PayPal,Canada,Morning,0
460,127.6297371053912,27,POS,Debit Card,USA,Morning,0
461,126.35098430933384,27,ATM,Credit Card,Germany,Night,0
462,652.718199094903,55,POS,Debit Card,UK,Evening,0
463,748.5844304727691,44,ATM,Credit Card,USA,Night,0
